,date,price,month
344,2020-04-14,127.16579996533194,April
345,2020-04-15,127.24479360126786,April
346,2020-04-16,127.33138944605403,April
347,2020-04-17,130.38440680484362,April
348,2020-04-18,130.70152044177004,April
349,2020-04-19,127.27865686056013,April
350,2020-04-20,127.23976673352648,April
351,2020-04-21,127.37869895748211,April
352,2020-04-22,127.44501399103584,April
353,2020-04-23,127.47965728152936,April
354,2020-04-24,131.00963276626302,April
355,2020-04-25,131.10202312854418,April
356,2020-04-26,127.99691701953792,April
357,2020-04-27,127.85526087710176,April
358,2020-04-28,127.79615184607384,April
359,2020-04-29,128.27926355149444,April
360,2020-04-30,128.2210955104871,April
361,2020-05-01,131.25597404848574,May
362,2020-05-02,131.91685857910508,May
363,2020-05-03,128.717876334101,May
364,2020-05-04,129.4887104998235,May
